sample_ID,site,timestamp,pCH4_uatm,CH4_uM,CH4_notes,pCO2_uatm,CO2_uM,CO2_notes,pN2O_uatm,N2O_uM,N2O_notes
FLNT.C0.20170307,FLNT,3/7/2017 18:00,140.42,0.231,,1551,62.8,,0.938,0.028,
FLNT.C0.20170314,FLNT,3/14/2017 14:50,137.07,0.236,,1888,80.5,,1.37,0.044,
FLNT.C0.20170329,FLNT,3/29/2017 14:03,143.68,0.224,,2457,92.4,,1.794,0.05,
FLNT.C0.20170411,FLNT,4/11/2017 14:35,225.11,0.36,,3007,117,,1.296,0.037,
FLNT.C0.20170418,FLNT,4/18/2017 14:15,164.99,0.247,,1833,65.8,,1.044,0.028,
FLNT.C0.20170425,FLNT,4/25/2017 14:04,156.26,0.237,,2797,101.8,,0.001,0,BDL
FLNT.C0.20170509,FLNT,5/9/2017 11:07,122.2,0.185,,2479,90,,1.485,0.04,
FLNT.C0.20170516,FLNT,5/16/2017 10:30,210.2,0.299,,2877,96.6,,3.159,0.077,
FLNT.C0.20170613,FLNT,6/13/2017 13:50,272.2,0.381,,3371,111.1,,1.222,0.029,
FLNT.C0.20170620,FLNT,6/20/2017 14:25,251.94,0.346,,3775,121.4,,1.508,0.035,
FLNT.C0.20170914,FLNT,9/14/2017 14:59,125.47,0.185,,2214,77.8,,1.215,0.031,
FLNT.C0.20171017,FLNT,10/17/2017 15:01,72.89,0.104,,939,31.7,,0.646,0.016,
FLNT.C0.20171107,FLNT,11/7/2017 16:19,39.89,0.063,,1884,72.3,,1.004,0.029,
FLNT.C0.20171114,FLNT,11/14/2017 15:23,28.63,0.048,,1276,52.6,,0.703,0.022,
FLNT.C0.20171228,FLNT,12/28/2017 14:48,33.66,0.062,,876,41,,0.407,0.015,
FLNT.C0.20180116,FLNT,1/16/2018 16:30,21.48,0.043,,879,45.1,,1.055,0.042,
FLNT.C0.20180123,FLNT,1/23/2018 16:30,42.88,0.08,,1331,63.3,,1.929,0.07,
FLNT.C0.20180130,FLNT,1/30/2018 15:20,34.33,0.065,,772,37.2,,0.47,0.017,
FLNT.C0.20180214,FLNT,2/14/2018 16:30,45.93,0.081,,1455,64.8,,0.975,0.033,
FLNT.C0.20180220,FLNT,2/20/2018 14:32,60.65,0.102,,1716,71.1,,0.821,0.025,
FLNT.C0.20180227,FLNT,2/27/2018 18:41,29.95,0.048,,1946,75.7,,1.015,0.029,
FLNT.C0.20180313,FLNT,3/13/2018 14:47,39.91,0.07,,1247,54.9,,0.917,0.03,
FLNT.C0.20180320,FLNT,3/20/2018 14:21,40.11,0.069,,1692,71.9,,0.91,0.029,
FLNT.C0.20180327,FLNT,3/27/2018 14:11,25.5,0.043,,1282,53.7,,0.732,0.023,
FLNT.C0.20180411,FLNT,4/11/2018 14:30,32.85,0.053,,1284,51.2,,0.633,0.019,
FLNT.C0.20180417,FLNT,4/17/2018 14:06,53.36,0.086,,2408,95.1,,0.927,0.027,
FLNT.C0.20180425,FLNT,4/25/2018 14:54,81.2,0.128,,2221,84.6,,1.191,0.034,
FLNT.C0.20180515,FLNT,5/15/2018 15:14,200.9,0.285,,2747,91.9,,0.001,0,BDL
FLNT.C0.20180522,FLNT,5/22/2018 14:36,259.87,0.363,,4129,135.3,,9.605,0.229,
FLNT.C0.20180619,FLNT,6/19/2018 15:53,175.65,0.237,,3647,114.2,,1.333,0.03,
FLNT.C0.20180626,FLNT,6/26/2018 17:19,271.36,0.359,,1863,57,,0.945,0.021,
FLNT.C0.20180724,FLNT,7/24/2018 13:37,133.9,0.175,,3691,111.3,,1.29,0.028,
FLNT.C0.20180829,FLNT,8/29/2018 15:06,283.89,0.38,,3955,123,,2.045,0.046,
FLNT.C0.20180919,FLNT,9/19/2018 13:34,193.63,0.26,,4118,128.9,,2.331,0.053,
FLNT.C0.20180925,FLNT,9/25/2018 17:07,190.19,0.256,,3121,97.8,,2.876,0.065,
FLNT.C0.20181023,FLNT,10/23/2018 15:32,323.53,0.484,,3633,130.2,,2.452,0.065,
FLNT.C0.20181113,FLNT,11/13/2018 18:18,141.03,0.231,,2296,92.1,,0.804,0.024,
FLNT.C0.20181127,FLNT,11/27/2018 15:30,131.03,0.242,,1942,90.6,,0.963,0.034,
FLNT.C0.20190122,FLNT,1/22/2019 20:16,106.7,0.201,,2160,103.2,,1.195,0.044,
FLNT.C0.20190205,FLNT,2/5/2019 18:29,110.34,0.206,,2533,120,,1.005,0.036,
FLNT.C0.20190212,FLNT,2/12/2019 18:16,120.91,0.217,,2117,95.5,,1.207,0.041,
FLNT.C0.20190226,FLNT,2/26/2019 14:30,116.56,0.195,,1728,71.2,,0.855,0.026,
FLNT.C0.20190305,FLNT,3/5/2019 17:58,85.06,0.144,,1321,55.3,,0.475,0.015,
FLNT.C0.20190312,FLNT,3/12/2019 16:24,119.05,0.202,,2133,89.7,,0.862,0.027,
FLNT.C0.20190320,FLNT,3/20/2019 14:45,112.87,0.195,,1414,60.4,,0.627,0.02,
FLNT.C0.20190326,FLNT,3/26/2019 13:32,180.94,0.301,,2131,87,,0.808,0.025,
FLNT.C0.20190402,FLNT,4/2/2019 14:06,118.8,0.198,,1741,71.5,,0.676,0.021,
FLNT.C0.20190410,FLNT,4/10/2019 14:45,76.68,0.119,,1775,66.3,,1.8,0.05,
FLNT.C0.20190416,FLNT,4/16/2019 15:07,100.5,0.153,,1840,67.6,,0.885,0.024,
FLNT.C0.20190423,FLNT,4/23/2019 14:25,112.71,0.174,,1976,73.7,,0.947,0.026,
FLNT.C0.20190430,FLNT,4/30/2019 13:02,187.94,0.29,,2649,98.6,,0.792,0.022,
FLNT.C0.20190515,FLNT,5/15/2019 15:46,158.94,0.232,,2779,96,,1.627,0.041,
FLNT.C0.20190604,FLNT,6/4/2019 13:13,178.14,0.243,,3372,107.2,,2.182,0.05,
FLNT.C0.20190618,FLNT,6/18/2019 14:47,160.09,0.213,,3239,99.5,,1.892,0.042,
FLNT.C0.20190710,FLNT,7/10/2019 15:31,190.14,0.251,,4080,124.2,,2.432,0.053,
FLNT.C0.20190805,FLNT,8/5/2019 16:34,141.33,0.188,,2808,86.6,,1.86,0.041,
FLNT.C0.20190813,FLNT,8/13/2019 15:26,118.27,0.155,,2796,84.3,,1.838,0.04,
FLNT.C0.20190917,FLNT,9/17/2019 15:50,71.42,0.097,,2528,80.1,,2.696,0.062,
FLNT.C0.20190924,FLNT,9/24/2019 15:40,56.79,0.079,,3098,101.4,,2.295,0.055,
FLNT.C0.20191008,FLNT,10/8/2019 16:45,102.49,0.144,,2323,76.4,,1.895,0.045,
FLNT.C0.20191112,FLNT,11/12/2019 18:45,65.65,0.11,,1340,55.1,,1.065,0.033,
FLNT.C0.20191119,FLNT,11/19/2019 15:03,48.37,0.087,,1133,51.3,,0.522,0.018,
FLNT.C0.20191210,FLNT,12/10/2019 16:44,42.27,0.074,,1835,80.2,,1.174,0.039,
FLNT.C0.20191217,FLNT,12/17/2019 12:56,49.04,0.091,,1713,80.3,,0.793,0.028,
FLNT.C0.20200107,FLNT,1/7/2020 15:30,50.16,0.091,,1741,79.6,,0.803,0.028,
FLNT.C0.20200127,FLNT,1/27/2020 19:35,108.55,0.205,,1736,83.2,,0.87,0.032,
FLNT.C0.20200204,FLNT,2/4/2020 13:20,54.31,0.103,,1357,65.8,,0.744,0.028,
FLNT.C0.20200319,FLNT,3/19/2020 16:14,116.12,0.18,,2956,110.3,,1.984,0.055,
FLNT.C0.20200610,FLNT,6/10/2020 14:26,97.18,0.144,,2932,103.3,,1.12,0.029,
FLNT.C0.20200623,FLNT,6/23/2020 15:40,113.63,0.165,,2078,71.3,,1.594,0.04,
